Month,Week,Theme,Weekly Goal,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Deliverable,Reflection Question
1,1,Prepare to Learn,Set up your learning system,Choose one path and write your reason,Create a study calendar,Set up folders and notes,Learn focused vs diffuse thinking,Write your weekly study checklist,Do a 60-minute baseline study session,Rest and review notes,Personal learning plan,What distractions do I need to reduce?
1,2,Git Basics,Understand version control basics,Read Git article,Practice git status add commit,Practice branches,Practice merge basics,Write Git notes,Create a small repo and commit changes,Review commands,Small Git practice repo,Can I explain working directory staging and commits?
1,3,Command Line Basics,Get comfortable using the terminal,Practice pwd ls cd,Practice mkdir touch cp mv,Practice rm safely and file viewing,Practice command history and tab completion,Write terminal cheat sheet,Complete a small file navigation lab,Review weak commands,Terminal cheat sheet,Which commands still feel unclear?
1,4,Linux Foundations,Understand basic Linux concepts,Learn files and directories,Practice permissions basics,Practice processes basics,Practice environment variables,Write Linux notes,Complete a Linux mini lab,Monthly review,Mini Linux lab notes,What did I learn this month that connects to cloud?
2,5,Cloud Fundamentals,Understand what cloud computing is,Learn cloud service models,Learn cloud deployment models,Compare compute storage database networking,Review shared responsibility,Write cloud concepts table,Create flashcards,Rest and review,Cloud fundamentals notes,Can I explain cloud to a beginner?
2,6,Networking Basics,Understand how systems communicate,Learn IP addresses,Learn DNS,Learn ports and protocols,Learn HTTP and HTTPS,Write networking notes,Trace a website request at a high level,Review,Networking summary,Can I explain what happens when I visit a website?
2,7,Security Basics,Understand cloud security foundations,Learn identity and access,Learn least privilege,Learn secrets basics,Learn network security basics,Write security notes,Review a sample access policy conceptually,Rest and review,Security basics notes,Where can poor access control create risk?
2,8,Cloud Engineer Role,Connect skills to the cloud engineer job,Read cloud engineer article,Map skills to responsibilities,Review day-to-day tasks,Identify personal skill gaps,Write fit reflection,Create a personal skill roadmap,Monthly review,Cloud engineer fit reflection,Does this role match how I like to work?
3,9,Infrastructure as Code,Understand IaC concepts,Read IaC article,Learn why manual setup is risky,Learn Terraform at a high level,Write IaC benefits table,Review example configuration structure,Create IaC concept notes,Rest and review,IaC notes,Why is repeatability important?
3,10,Terraform Basics,Practice simple IaC workflow,Learn init plan apply destroy concepts,Read simple Terraform examples,Practice reading resource blocks,Learn variables and outputs conceptually,Write Terraform workflow notes,Build or diagram a tiny infrastructure plan,Review,Terraform workflow notes,What does desired state mean in IaC?
3,11,CI/CD Basics,Understand pipeline automation,Read CI/CD article,Learn CI stages,Learn CD delivery vs deployment,Learn pipeline failures,Write pipeline notes,Design a simple pipeline on paper,Rest and review,Pipeline diagram,Which steps should be automated first?
3,12,Build Test Release,Connect CI/CD to real delivery,Review build stage,Review test stage,Review package stage,Review deploy stage,Review security checks,Create a sample release workflow,Monthly review,Release workflow table,How does automation reduce risk?
4,13,Containers,Understand containers and images,Read containers article,Learn image vs container,Learn dependencies,Learn container runtime,Write container notes,Draw app inside container,Rest and review,Container concept diagram,How do containers solve environment differences?
4,14,Docker Basics,Practice container commands conceptually,Learn docker run ps stop,Learn images and tags,Learn Dockerfile basics,Learn ports and volumes,Write Docker cheat sheet,Run or outline a simple container lab,Review,Docker cheat sheet,Which Docker concepts need more practice?
4,15,Kubernetes Basics,Understand orchestration,Read Kubernetes article,Learn cluster node pod,Learn deployment service namespace,Learn scaling and self-healing,Write Kubernetes notes,Draw a simple cluster diagram,Rest and review,Kubernetes diagram,Why is orchestration useful in production?
4,16,Kubernetes Workflow,Connect containers to Kubernetes,Review desired state,Review rollouts and rollbacks,Review services and traffic,Review config and secrets,Write workflow notes,Design a simple app deployment plan,Monthly review,Kubernetes deployment plan,What does Kubernetes manage for me?
5,17,Observability,Understand logs metrics traces,Read observability article,Study logs,Study metrics,Study traces,Write comparison table,Analyze a sample incident scenario,Rest and review,Logs metrics traces notes,Which signal answers what happened?
5,18,Monitoring and Alerts,Understand production health,Learn dashboards,Learn alerts,Learn error rates and latency,Learn availability,Write monitoring notes,Design a simple dashboard on paper,Review,Dashboard plan,What would I alert on first?
5,19,Troubleshooting,Practice investigation habits,Learn incident workflow,Practice reading errors,Practice forming hypotheses,Practice root cause notes,Write troubleshooting checklist,Walk through a mock outage,Rest and review,Troubleshooting checklist,How do I stay calm when debugging?
5,20,Cost and Reliability,Think like a cloud engineer,Learn cost basics,Learn right-sizing,Learn backups conceptually,Learn reliability basics,Write cost reliability notes,Review a sample architecture for waste,Monthly review,Cost and reliability notes,How do cost security and reliability connect?
6,21,Capstone Planning,Plan a small cloud project,Choose project idea,Define requirements,Choose tools,Draw architecture,Create task list,Set success criteria,Rest and review,Capstone project plan,What can I build with my current skills?
6,22,Capstone Build Week 1,Build the foundation,Set up repo,Write README outline,Create basic app or service plan,Plan infrastructure,Plan pipeline,Build first working piece,Review progress,Working project foundation,What blocked me this week?
6,23,Capstone Build Week 2,Add automation and operations,Add IaC notes or files,Add CI/CD plan or config,Add container plan or Dockerfile,Add monitoring plan,Update documentation,Test end-to-end manually,Rest and review,Improved capstone project,What part felt most like cloud engineering?
6,24,Capstone Review,Review and present your learning,Finish project notes,Write architecture explanation,Write lessons learned,Write troubleshooting notes,Prepare final summary,Review full 6 months,Plan next learning path,Final capstone summary,What should I learn next and why?
